縣市代碼,縣市名稱,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員,lat,lng,index
1,新北市,11302,私立康橋實驗高中附設國中部,11,11,8,153,156,173,154,157,137,143,160,0,0,0,0,25.0169826,121.4627868,2
1,新北市,11312,私立崇義高中附設國中部,1,1,1,5,0,2,1,3,0,4,0,0,0,0,0,25.0169826,121.4627868,8
1,新北市,11317,私立醒吾高中附設國中部,1,1,1,4,13,6,9,12,7,17,17,0,0,0,0,25.079564,121.395793,11
1,新北市,14399,市立豐珠中學附設國中,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0656393,121.9017465,37
1,新北市,14546,市立貢寮國中,2,2,2,14,10,16,13,18,11,16,10,9,13,1,3,25.016433,121.907827,181
1,新北市,14503,市立重慶國中,20,19,18,235,251,229,265,212,248,249,257,36,98,1,13,24.9981363,121.462459,40
30,臺北市,363507,市立重慶國中,7,8,9,70,46,87,71,102,62,99,71,17,52,2,11,25.0759168,121.5180299,858
1,新北市,14505,市立中山國中,30,29,30,495,447,471,419,484,454,465,452,58,151,2,12,25.0183945,121.4675424,42
19,臺中市,193516,市立中山國中,5,6,6,56,50,66,39,57,41,64,54,13,35,1,7,24.1684465,120.6601462,712
21,臺南市,213510,市立中山國中,15,15,13,165,241,193,218,144,185,152,195,26,67,4,5,22.9847441,120.2032597,806
30,臺北市,313504,市立中山國中,8,8,8,97,99,119,103,106,102,115,112,17,49,2,12,25.0606103,121.5455307,822
50,高雄市,613503,市立中山國中,17,17,17,239,220,256,237,258,242,284,264,42,86,5,9,22.5660379,120.3558704,953
1,新北市,14506,市立新埔國中,12,12,10,134,152,141,145,121,114,136,125,20,70,5,5,25.0248193,121.4597107,43
4,新竹縣,44507,縣立新埔國中,3,3,5,43,55,53,35,52,56,56,44,8,23,0,5,24.8288075,121.0709891,565
1,新北市,14512,市立光榮國中,9,8,10,135,87,93,76,113,92,103,95,15,53,2,7,25.0704534,121.4999178,48
6,臺中市,64537,市立光榮國中,17,16,18,215,229,217,219,230,263,216,227,48,88,1,12,24.1104867,120.6869077,367
12,高雄市,124501,市立鳳山國中,21,21,21,271,293,311,265,330,276,318,320,41,115,3,13,22.6249822,120.3721399,69
12,高雄市,124503,市立鳳西國中,17,18,17,253,219,260,243,256,193,242,225,38,93,3,12,22.6272784,120.3014353,70
12,高雄市,124506,市立忠孝國中,4,4,4,32,30,39,23,40,21,43,32,11,23,2,4,22.6199234,120.3464484,73
1,新北市,14575,市立忠孝國中,11,10,10,130,86,119,122,123,115,124,96,25,53,1,7,25.0040996,121.461613,201
21,臺南市,213502,市立忠孝國中,10,10,11,126,128,135,132,163,143,191,118,24,57,0,9,22.9814508,120.2229145,746
30,臺北市,363502,市立忠孝國中,6,6,6,71,84,97,76,100,76,89,64,21,35,3,11,25.0329636,121.5654268,855
12,高雄市,124517,市立永安國中,2,2,2,25,24,22,21,26,18,32,41,5,21,3,3,22.8233569,120.2403399,82
3,桃園市,34537,市立永安國中,3,3,3,13,8,19,16,22,18,24,18,7,24,1,5,24.9878442,121.0440791,469
5,苗栗縣,54333,縣立大同高中附設國中部,3,2,3,35,26,34,27,39,37,29,28,0,0,0,0,24.707903,120.8953263,112
2,宜蘭縣,24523,縣立大同國中,1,1,1,5,9,5,10,7,10,6,15,10,4,1,2,24.5747615,121.4783981,231
13,屏東縣,134304,縣立大同高中附設國中部,9,9,9,101,111,111,122,120,124,116,163,0,0,0,0,22.678426,120.477654,267
7,彰化縣,74536,縣立大同國中,23,23,24,297,310,299,336,349,318,331,354,57,110,4,12,23.9631284,120.5793811,476
5,苗栗縣,54532,縣立建國國中,12,12,14,149,131,157,143,159,159,135,147,25,68,2,6,24.6953341,120.9103599,140
9,雲林縣,94521,縣立建國國中,10,11,11,149,142,160,135,150,162,201,166,28,53,6,7,23.5737539,120.2954258,609
6,臺中市,64526,市立中平國中,9,9,10,93,102,126,85,100,89,101,104,25,51,3,6,24.1477358,120.6736482,156
1,新北市,14559,市立中平國中,23,21,22,386,337,352,304,349,325,331,298,39,118,2,9,25.0535454,121.4434788,189
6,臺中市,64529,市立東勢國中,11,12,14,148,118,151,157,169,166,165,141,31,63,3,7,24.250894,120.832342,158
9,雲林縣,94513,縣立東勢國中,2,2,3,22,17,26,23,40,33,36,32,10,16,1,4,23.6728846,120.2558139,601
1,新北市,14554,市立自強國中,9,9,10,129,121,114,117,112,108,120,95,20,51,0,9,24.9980397,121.4730798,186
3,桃園市,34526,市立自強國中,15,16,15,196,175,219,198,231,198,191,226,31,88,3,9,24.9687489,121.260466,434
1,新北市,14555,市立中正國中,21,21,21,285,211,262,273,272,249,262,256,41,109,2,10,25.0169826,121.4627868,187
17,基隆市,173505,市立中正國中,7,9,7,89,97,103,97,79,87,90,85,21,46,5,6,25.1353709,121.7539849,764
30,臺北市,353505,市立中正國中,22,22,23,406,350,402,345,398,361,405,372,37,132,4,19,25.0322885,121.521894,851
