縣市,名稱,開發依,開發情,管理單,面積,X,Y,類別
B,中部科學園區台中園區,科學園區,已開發完成,科技部,466,210952.04,2678228.508,科學園區
B,中部科學園區后里園區,科學園區,已開發完成,科技部,246.27,222403.288,2689069.122,科學園區
D,南部科學園區台南園區,科學園區,已開發完成,科技部,0,175723.644,2556324.293,科學園區
G,新竹科學園區宜蘭園區,科學園區,開發中,科技部,70.63,326141.697,2736388.751,科學園區
O,竹科新竹園區,科學園區,已完成開發,科技部,653,250947.64,2740826.741,科學園區
J,新竹科學園區生醫園區,科學園區,開發中,科技部,38.1,254622.612,2744323.897,科學園區
N,中部科學園區二林園區,科學園區,開發中,科技部,0,192351.824,2647082.917,科學園區
H,新竹科學園區龍潭園區,科學園區,開發中,科技部,106.94,268810.757,2752824.45,科學園區
P,中部科學園區虎尾園區,科學園區,開發中,科技部,97,188842.083,2625965.253,科學園區
M,中部科學園區中興園區,科學園區,開發中,科技部,258.97,219386.175,2647857.862,科學園區
K,新竹科學園區竹南園區,科學園區,已完成開發,科技部,123,241371.799,2733631.842,科學園區
K,新竹科學園區銅鑼園區,科學園區,開發中,科技部,349.7,225906.768,2706198.117,科學園區
E,南部科學園區高雄園區,科學園區,已開發完成,科技部,0,173980.051,2525900.127,科學園區
E,南部科學園區橋頭園區,科學園區,開發中,科技部,262,181782.738,2518820.994,科學園區
B,臺中港科技產業園區,科技產業園區,已開發完成,科技產業園區管理處,122.27,200433.684,2681545.927,科技產業園區
B,潭子科技產業園區,科技產業園區,已開發完成,科技產業園區管理處,26.12,219700.227,2679234.945,科技產業園區
B,台中軟體園區,科技產業園區,已開發完成,科技產業園區管理處,0,219053.974,2664471.544,科技產業園區
T,屏東科技產業園區,科技產業園區,已開發完成,科技產業園區管理處,124.08,193930.254,2504577.455,科技產業園區
E,前鎮科技產業園區,科技產業園區,已開發完成,科技產業園區管理處,72.3,177152.856,2500095.042,科技產業園區
E,楠梓科技產業園區,科技產業園區,已開發完成,科技產業園區管理處,92.33,178613.761,2513646.026,科技產業園區
E,高雄軟體園區,科技產業園區,已開發完成,科技產業園區管理處,7.92,177949.186,2500691.322,科技產業園區
E,成功物流園區,科技產業園區,已開發完成,科技產業園區管理處,46.6,178626.217,2499968.025,科技產業園區
E,臨廣科技產業園區,科技產業園區,已開發完成,科技產業園區管理處,8.96,179933.166,2497536.151,科技產業園區
E,楠梓科技產業園區二期,科技產業園區,已開發完成,科技產業園區管理處,0,178188.549,2512755.476,科技產業園區
B,台中港自由貿易港區,自由貿易港區設置,開發中,台灣港務局,0,200746.266,2685268.626,自由貿易港區
D,安平港自由貿易港區,自由貿易港區設置,開發中,台灣港務局,0,164954.372,2541610.231,自由貿易港區
G,蘇澳自由貿易港,自由貿易港區設置,開發中,台灣港務局,0,337355.701,2721037.401,自由貿易港區
F,台北自由貿易港,自由貿易港區設置,開發中,台灣港務局,0,289359.226,2783574.442,自由貿易港區
H,桃園航空自由貿易區,自由貿易港區設置,開發中,台灣港務局,0,275631.995,2776449.402,自由貿易港區
E,高雄港自由貿易港區,自由貿易港區設置,開發中,台灣港務局,0,179798.105,2495936.561,自由貿易港區
C,基隆自由貿易港,自由貿易港區設置,開發中,台灣港務局,0,325520.745,2782177.168,自由貿易港區
T,屏東農業生技園區,農業生技,已開發完成,行政院農委會,233,203279.829,2512718.956,農業生技園區
B,台中工業區,獎勵投資,已開發完成,工業局中區工業區管理,583,209421.456,2673719.139,編定工業區
B,大甲幼獅工業區,獎勵投資,已開發完成,工業局中區工業區管理,218.47,214718.366,2699758.688,編定工業區
B,台中港關連工業區,獎勵投資,已開發完成,工業局中區工業區管理,142.83,201740.447,2681448.025,編定工業區
B,大里工業區,獎勵投資,已開發完成,工業局中區工業區管理,77.21,221148.358,2666341.725,編定工業區
D,安平工業區,獎勵投資,已開發完成,工業局南區工業區管理,200,165883.181,2541376.369,編定工業區
D,台南科技工業區,促進產業,開發中,工業局南區工業區管理,709.15,162263.949,2548706.825,編定工業區
D,永康工業區,獎勵投資,已開發完成,工業局南區工業區管理,74.67,175270.42,2549721.579,編定工業區
D,官田工業區,獎勵投資,已開發完成,工業局南區工業區管理,227,180837.394,2567535.172,編定工業區
D,新營工業區,獎勵投資,已開發完成,工業局南區工業區管理,124.18,176244.765,2578197.977,編定工業區
G,龍德工業區,獎勵投資,已開發完成,工業局北區工業區管理,236.09,332974.88,2725078.496,編定工業區
G,利澤工業區,獎勵投資,開發中,工業局北區工業區管理,330.65,334602.499,2727140.286,編定工業區
T,屏南工業區,獎勵投資,已開發完成,工業局南區工業區管理,281.08,206431.522,2479087.122,編定工業區
T,內埔工業區,獎勵投資,已開發完成,工業局南區工業區管理,103.29,203570.79,2504771.668,編定工業區
T,屏東工業區,獎勵投資,已開發完成,工業局南區工業區管理,113.18,198572.219,2506692.929,編定工業區
J,新竹工業區,獎勵投資,已開發完成,工業局北區工業區管理,517,251651.368,2751250.959,編定工業區
N,田中工業區,獎勵投資,已開發完成,工業局中區工業區管理,27.94,206427.446,2638201.027,編定工業區
N,芳苑工業區,獎勵投資,已開發完成,工業局中區工業區管理,162.48,183838.825,2645962.558,編定工業區
N,埤頭工業區,獎勵投資,已開發完成,工業局中區工業區管理,18.3,195263.308,2641531.97,編定工業區
N,福興工業區,獎勵投資,已開發完成,工業局中區工業區管理,43.12,198219.768,2656555.254,編定工業區
N,全興工業區,獎勵投資,已開發完成,工業局中區工業區管理,246.69,200038.371,2673719.762,編定工業區
N,彰濱工業區,獎勵投資,開發中,工業局中區工業區管理,3578,189971.385,2666679.334,編定工業區
N,社頭織襪工業區,促進產業,已開發完成,工業局中區工業區管理,7.49,209488.947,2644254.696,編定工業區
Q,朴子工業區,獎勵投資,已開發完成,工業局南區工業區管理,21.52,173186.817,2593058.908,編定工業區
Q,義竹工業區,獎勵投資,已開發完成,工業局南區工業區管理,15.56,170342.667,2584334.805,編定工業區
Q,民雄工業區,獎勵投資,已開發完成,工業局南區工業區管理,243.84,194159.349,2602281.53,編定工業區
Q,嘉太工業區,獎勵投資,已開發完成,工業局南區工業區管理,59.42,184541.148,2600618.453,編定工業區
F,林口工二工業區,獎勵投資,已開發完成,工業局北區工業區管理,52.44,290524.346,2774600.904,編定工業區
F,瑞芳工業區,獎勵投資,已開發完成,工業局北區工業區管理,38.17,329424.143,2776891.428,編定工業區
F,樹林工業區,獎勵投資,已開發完成,工業局北區工業區管理,21.75,292335.493,2766044.835,編定工業區
F,新北產業園區,獎勵投資,已開發完成,工業局北區工業區管理,140.55,295712.607,2773237.756,編定工業區
F,土城工業區,獎勵投資,已開發完成,工業局北區工業區管理,107,292650.536,2761952.846,編定工業區
H,大園工業區,獎勵投資,已開發完成,工業局北區工業區管理,204.38,268690.614,2774013.245,編定工業區
H,林口工三工業區,獎勵投資,已開發完成,工業局北區工業區管理,119,288063.617,2772403.538,編定工業區
H,桃園幼獅工業區,獎勵投資,已開發完成,工業局北區工業區管理,61.57,267375.613,2757567.07,編定工業區
H,龜山工業區,獎勵投資,已開發完成,工業局北區工業區管理,131,282852.065,2763875.688,編定工業區
H,平鎮工業區,獎勵投資,已開發完成,工業局北區工業區管理,104,270366.525,2754850.892,編定工業區
H,中壢工業區,獎勵投資,已開發完成,工業局北區工業區管理,432.9,274491.783,2763700.652,編定工業區
H,觀音工業區,獎勵投資,已開發完成,工業局北區工業區管理,632.12,261891.047,2771907.221,編定工業區
U,光華工業區,獎勵投資,已開發完成,工業局北區工業區管理,34.36,310421.255,2647650.507,編定工業區
U,和平工業區,獎勵投資,開發中,工業局北區工業區管理,486.726,326580.047,2688813.68,編定工業區
U,美崙工業區,獎勵投資,已開發完成,工業局北區工業區管理,135.5,313954.374,2656761.682,編定工業區
V,豐樂工業區,獎勵投資,已開發完成,工業局北區工業區管理,18.89,263597.724,2517210.246,編定工業區
P,元長工業區,獎勵投資,已開發完成,工業局中區工業區管理,16.15,181819.932,2612158.654,編定工業區
P,豐田工業區,獎勵投資,已開發完成,工業局中區工業區管理,39.75,195618.587,2615102.65,編定工業區
P,斗六工業區,獎勵投資,已開發完成,工業局中區工業區管理,203,208663.693,2623746.67,編定工業區
