ID,predicted_price
PU-1,1.7330761
PU-2,1.7081093
PU-3,2.759831
PU-4,1.461742
PU-5,3.4210465
PU-6,1.644103
PU-7,1.8097984
PU-8,1.732886
PU-9,1.2527196
PU-10,1.6740377
PU-11,1.0674436
PU-12,3.7275243
PU-13,0.9589326
PU-14,1.9618055
PU-15,1.5969805
PU-16,0.91733444
PU-17,3.0326128
PU-18,2.6632006
PU-19,1.0273927
PU-20,3.2176785
PU-21,1.5221885
PU-22,1.6032826
PU-23,3.2057796
PU-24,1.6132064
PU-25,2.618411
PU-26,2.070305
PU-27,2.1085079
PU-28,1.6479127
PU-29,2.7874315
PU-30,1.5750625
PU-31,4.1896176
PU-32,1.140642
PU-33,2.8891137
PU-34,1.653635
PU-35,1.7241164
PU-36,1.4889492
PU-37,1.7389565
PU-38,2.9536953
PU-39,2.4270499
PU-40,2.3385994
PU-41,1.8877486
PU-42,1.3015456
PU-43,1.4309351
PU-44,1.917799
PU-45,1.8454977
PU-46,0.9436065
PU-47,1.4327184
PU-48,1.4751537
PU-49,0.78939605
PU-50,2.6557083
PU-51,2.5767362
PU-52,2.0679607
PU-53,2.1154058
PU-54,2.381607
PU-55,1.0599979
PU-56,4.6233993
PU-57,2.9991658
PU-58,2.8351624
PU-59,1.77116
PU-60,2.4279454
PU-61,1.3603854
PU-62,1.3372287
PU-63,2.0698495
PU-64,1.3037915
PU-65,5.9137383
PU-66,2.1453667
PU-67,1.9144536
PU-68,1.1338153
PU-69,1.2860031
PU-70,2.0549228
PU-71,1.7178737
PU-72,2.4547017
PU-73,1.478818
PU-74,2.536327
PU-75,1.7511294
PU-76,0.94430816
PU-77,2.1037211
PU-78,0.8715234
PU-79,1.5227112
PU-80,1.2177151
PU-81,1.2998126
PU-82,1.3997569
PU-83,1.5563827
PU-84,2.083061
PU-85,4.0010014
PU-86,1.1075679
PU-87,2.8058288
PU-88,1.2273022
PU-89,3.9017382
PU-90,3.249492
PU-91,0.8543393
PU-92,0.99047166
PU-93,3.0719502
PU-94,1.6167419
PU-95,1.9977044
PU-96,1.6643472
PU-97,1.404164
PU-98,2.0496023
PU-99,2.026029
PU-100,0.94488835
PU-101,1.3049226
PU-102,1.7429681
PU-103,1.1095055
PU-104,1.4371171
PU-105,2.253446
PU-106,1.4158148
PU-107,0.7669163
PU-108,1.5912017
PU-109,2.220702
PU-110,1.6018438
PU-111,1.2694315
PU-112,2.3835964
PU-113,1.5623307
PU-114,2.0283303
PU-115,1.9778509
PU-116,1.6365322
PU-117,1.9281687
PU-118,1.5652043
PU-119,1.0464255
PU-120,1.4088149
PU-121,1.0266393
PU-122,2.0356944
PU-123,2.8278844
PU-124,2.1436465
PU-125,1.8745552
PU-126,4.888897
PU-127,1.9441158
PU-128,2.043633
PU-129,1.2720805
PU-130,1.1809813
PU-131,1.9920977
PU-132,1.0633491
PU-133,2.1985986
PU-134,1.4744369
PU-135,2.1000419
PU-136,1.8302072
PU-137,1.6351525
PU-138,2.037764
PU-139,1.3584385
PU-140,2.524696
PU-141,3.6989253
PU-142,0.8250757
PU-143,2.1503773
PU-144,1.2315762
PU-145,1.8018887
PU-146,1.8403804
PU-147,2.1374207
PU-148,1.0199499
PU-149,1.26961
PU-150,1.5551367
PU-151,1.1854321
PU-152,1.5929637
PU-153,2.3442822
PU-154,1.4813979
PU-155,2.5622659
PU-156,1.7458258
PU-157,1.2133152
PU-158,1.3490489
PU-159,4.698396
PU-160,1.5770714
PU-161,0.94357765
PU-162,1.9049107
PU-163,1.0750715
PU-164,3.5495772
PU-165,5.401019
PU-166,1.2410909
PU-167,1.4416091
PU-168,4.794555
PU-169,1.909633
PU-170,0.93832606
PU-171,2.1747441
PU-172,1.7263601
PU-173,2.305613
PU-174,1.336111
PU-175,1.2225643
PU-176,1.7954857
PU-177,2.57304
PU-178,2.0874293
PU-179,1.6234579
PU-180,1.5399364
PU-181,0.9800487
PU-182,3.077719
PU-183,2.1754375
PU-184,2.5041888
PU-185,1.8933295
PU-186,4.3917036
PU-187,2.3026125
PU-188,1.152125
PU-189,0.9355609
PU-190,1.6513747
PU-191,3.3974552
PU-192,1.0940032
PU-193,1.4576734
PU-194,0.9571424
PU-195,1.6882225
PU-196,4.0559487
PU-197,5.092419
PU-198,1.3091283
PU-199,1.9581008
PU-200,1.617482
PU-201,3.0518057
PU-202,0.77686733
PU-203,4.0607767
PU-204,1.8277211
PU-205,1.3651447
PU-206,1.5120991
PU-207,1.5522672
PU-208,2.0086844
PU-209,3.2563975
PU-210,2.170369
PU-211,1.2580711
PU-212,1.7342085
PU-213,1.8418401
PU-214,1.507085
PU-215,2.23692
PU-216,1.1788708
PU-217,1.3353529
PU-218,2.2452357
PU-219,1.3884131
PU-220,1.343687
PU-221,1.2423555
PU-222,2.2054238
PU-223,1.3302976
PU-224,2.027196
PU-225,1.7403804
PU-226,1.7316766
PU-227,1.7252375
PU-228,2.7172978
PU-229,2.187784
PU-230,0.8626572
PU-231,1.346933
PU-232,1.2205232
PU-233,1.8414956
PU-234,1.6780263
PU-235,1.3066902
PU-236,2.331812
PU-237,2.9541998
PU-238,4.3347855
PU-239,2.2593386
PU-240,3.746702
PU-241,2.7832901
PU-242,2.6396434
PU-243,2.8990045
PU-244,1.3613296
